Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,0.0,1,0.06,0.06,0,0,1,0.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,0.0,34,48513.58,1426.8700000000001,0,34,0,0.0,33999999999.999996,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,3515.031065,26,52028.630000000005,2001.101153846154,25,0,26,0.9615384615384616,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,0.0,46,52066.88,1131.888695652174,0,46,0,0.0,46000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,2517.787385,64,54584.72,852.88625,63,0,64,0.984375,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,1613.165903,59,112897.91,1913.523898305085,15,44,15,0.2542372881355932,2.9333333331377776,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,0.0,1,0.11,0.11,0,0,1,0.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,1245.51851,34,341740.77999999997,10051.199411764705,21,13,21,0.6176470588235294,0.6190476190181405,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,0.0,13,36997.54,2845.9646153846156,0,13,0,0.0,13000000000.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Extreme Greed,4493.232479,17,41490.68,2440.6282352941175,17,0,17,1.0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,1047.030992,39,84021.26999999999,2154.3915384615384,28,10,29,0.717948717948718,0.3448275861950059,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,4842.054317,124,272092.55,2194.294758064516,80,43,81,0.6451612903225806,0.5308641975243102,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,1693.493165,339,588968.28,1737.369557522124,198,141,198,0.584070796460177,0.7121212121176156,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Extreme Greed,4221.156399,54,129509.91,2398.331666666667,4,50,4,0.07407407407407407,12.499999996875,Frequent
